k, a, b, c, f(c)
0,-1,0.5,0.384615384615,0.675921711425
0,-1,0.384615384615,0.287891617273,0.57987034475
1,-1,0.287891617273,0.2099354311,0.472019672698
2,-1,0.2099354311,0.149640652805,0.366054262781
3,-1,0.149640652805,0.104709153391,0.272567496697
4,-1,0.104709153391,0.0722361831345,0.196590151153
5,-1,0.0722361831345,0.0493156147663,0.138458598955
6,-1,0.0493156147663,0.0334172257427,0.0958594680883
7,-1,0.0334172257427,0.0225262455203,0.0655718706756
8,-1,0.0225262455203,0.015130246714,0.0444819700437
9,-1,0.015130246714,0.0101377006097,0.0300040936978
10,-1,0.0101377006097,0.00678130498659,0.020160594262
11,-1,0.00678130498659,0.0045310890189,0.0135113300394
12,-1,0.0045310890189,0.00302528838454,0.0090393110515
13,-1,0.00302528838454,0.00201889277884,0.00604039108203
14,-1,0.00201889277884,0.00134683428019,0.00403325187648
15,-1,0.00134683428019,0.000898292622762,0.00269165159946
16,-1,0.000898292622762,0.000599041066173,0.00179568822765
17,-1,0.000599041066173,0.000399440455264,0.00119768328255
18,-1,0.000399440455264,0.000266329092992,0.000798703592015
